code,disease,category
100,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
102,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
103,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
104,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
120,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
124,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
126,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
140,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
142,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
144,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
145,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
147,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
148,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
160,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
162,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
164,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
170,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
172,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
174,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
176,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
190,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
192,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
210,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
211,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
212,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
214,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
215,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
216,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
218,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
220,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
222,"""Anesthesia for Procedures on the Head.Anesthesia. General Anesthesia""",Anesthesiology
300,"""Anesthesia for Procedures on the Neck.Anesthesia. General Anesthesia""",Anesthesiology
320,"""Anesthesia for Procedures on the Neck.Anesthesia. General Anesthesia""",Anesthesiology
322,"""Anesthesia for Procedures on the Neck.Anesthesia. General Anesthesia""",Anesthesiology
326,"""Anesthesia for Procedures on the Neck.Anesthesia. General Anesthesia""",Anesthesiology
350,"""Anesthesia for Procedures on the Neck.Anesthesia. General Anesthesia""",Anesthesiology
352,"""Anesthesia for Procedures on the Neck.Anesthesia. General Anesthesia""",Anesthesiology
400,"""Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle).Anesthesia. Regional Anesthesia""",Anesthesiology
402,"""Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle).Anesthesia. Regional Anesthesia""",Anesthesiology
404,"""Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle).Anesthesia. Regional Anesthesia""",Anesthesiology
406,"""Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle).Anesthesia. Regional Anesthesia""",Anesthesiology
410,"""Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle).Anesthesia. Regional Anesthesia""",Anesthesiology
450,"""Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle).Anesthesia. Regional Anesthesia""",Anesthesiology
454,"""Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle).Anesthesia. Regional Anesthesia""",Anesthesiology
470,"""Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle).Anesthesia. Regional Anesthesia""",Anesthesiology
472,"""Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle).Anesthesia. Regional Anesthesia""",Anesthesiology
474,"""Anesthesia for Procedures on the Thorax (Chest Wall and Shoulder Girdle).Anesthesia. Regional Anesthesia""",Anesthesiology
500,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
520,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
522,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
524,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
528,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
529,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
530,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
532,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
534,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
537,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
539,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
540,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
541,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
542,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
546,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
548,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
