code,disease,category
A0021,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0080,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0090,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0100,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0110,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0120,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0130,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0140,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0160,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0170,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0180,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0190,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0200,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0210,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0225,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0380,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0382,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0384,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0390,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0392,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0394,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0396,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0398,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0420,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0422,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0424,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0425,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0426,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0427,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0428,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0429,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0430,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0431,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0432,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0433,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0434,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0435,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0436,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0888,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A0998,"""Ambulance and Other Transport Services and Supplies.Ambulance services""",Transportation Services. medical equipment and supplies
A2001,"""Matrix for Wound Management (Placental Equine Synthetic).Emergency transportation services""",Transportation Services. medical equipment and supplies
A2002,"""Matrix for Wound Management (Placental Equine Synthetic).Emergency transportation services""",Transportation Services. medical equipment and supplies
A2004,"""Matrix for Wound Management (Placental Equine Synthetic).Emergency transportation services""",Transportation Services. medical equipment and supplies
A2005,"""Matrix for Wound Management (Placental Equine Synthetic).Emergency transportation services""",Transportation Services. medical equipment and supplies
A2006,"""Matrix for Wound Management (Placental Equine Synthetic).Emergency transportation services""",Transportation Services. medical equipment and supplies
